Pueblo y grupos de edad;Total - Total;Total - Sexo - Varon ;Total - Sexo - Mujer;Area Urbana  - Total;Area Urbana  - Sexo - Varon ;Area Urbana  - Sexo - Mujer;Area Rural - Total;Area Rural - Sexo - Varon ;Area Rural - Sexo - Mujer
         De 65 a 69 anos;63;35;28;8;5;3;55;30;25
         De 70 a 74 anos;42;21;21;3;2;1;39;19;20
         De 75 a 79 anos;15;7;8; - ; - ; - ;15;7;8
         De 80 a 84 anos;10;5;5;2;1;1;8;4;4
         De 85 a 89 anos;4;2;2; - ; - ; - ;4;2;2
         De 90 anos y mas;3;3; - ; - ; - ; - ;3;3; - 
    Enlhet Norte;9.874;5.108;4.766;2.799;1.445;1.354;7.075;3.663;3.412
         De 0 a 4 anos;670;354;316;188;98;90;482;256;226
         De 5 a 9 anos;752;401;351;233;121;112;519;280;239
         De 10 a 14 anos;836;420;416;247;127;120;589;293;296
         De 15 a 19 anos;841;428;413;279;145;134;562;283;279
         De 20 a 24 anos;740;366;374;227;115;112;513;251;262
         De 25 a 29 anos;891;448;443;241;115;126;650;333;317
         De 30 a 34 anos;961;471;490;263;130;133;698;341;357
         De 35 a 39 anos;795;424;371;218;116;102;577;308;269
         De 40 a 44 anos;601;294;307;182;86;96;419;208;211
         De 45 a 49 anos;571;324;247;160;93;67;411;231;180
         De 50 a 54 anos;593;312;281;156;78;78;437;234;203
         De 55 a 59 anos;589;303;286;152;81;71;437;222;215
         De 60 a 64 anos;456;251;205;108;62;46;348;189;159
         De 65 a 69 anos;304;169;135;85;46;39;219;123;96
         De 70 a 74 anos;124;68;56;33;20;13;91;48;43
         De 75 a 79 anos;71;41;30;13;9;4;58;32;26
         De 80 a 84 anos;61;28;33;9;2;7;52;26;26
         De 85 a 89 anos;14;5;9;5;1;4;9;4;5
         De 90 anos y mas;4;1;3; - ; - ; - ;4;1;3
    Enxet Sur;8.189;4.193;3.996;160;79;81;8.029;4.114;3.915
         De 0 a 4 anos;887;466;421;17;6;11;870;460;410
         De 5 a 9 anos;858;423;435;18;10;8;840;413;427
         De 10 a 14 anos;738;372;366;21;9;12;717;363;354
         De 15 a 19 anos;790;411;379;16;7;9;774;404;370
         De 20 a 24 anos;906;446;460;19;8;11;887;438;449
         De 25 a 29 anos;771;388;383;18;11;7;753;377;376
         De 30 a 34 anos;649;332;317;10;6;4;639;326;313
         De 35 a 39 anos;454;247;207;11;5;6;443;242;201
         De 40 a 44 anos;431;229;202;4;3;1;427;226;201
         De 45 a 49 anos;382;203;179;9;5;4;373;198;175
         De 50 a 54 anos;354;186;168;6;4;2;348;182;166
         De 55 a 59 anos;301;142;159;4;1;3;297;141;156
         De 60 a 64 anos;223;130;93; - ; - ; - ;223;130;93
         De 65 a 69 anos;178;87;91;4;2;2;174;85;89
         De 70 a 74 anos;116;52;64;2;2; - ;114;50;64
         De 75 a 79 anos;86;47;39;1; - ;1;85;47;38
         De 80 a 84 anos;41;21;20; - ; - ; - ;41;21;20
         De 85 a 89 anos;20;9;11; - ; - ; - ;20;9;11
         De 90 anos y mas;4;2;2; - ; - ; - ;4;2;2
    Sanapana;3.523;1.824;1.699;255;133;122;3.268;1.691;1.577
         De 0 a 4 anos;386;203;183;35;21;14;351;182;169
         De 5 a 9 anos;382;204;178;34;19;15;348;185;163
         De 10 a 14 anos;358;187;171;26;11;15;332;176;156
         De 15 a 19 anos;354;171;183;34;18;16;320;153;167
         De 20 a 24 anos;355;179;176;28;17;11;327;162;165
         De 25 a 29 anos;331;177;154;17;7;10;314;170;144
         De 30 a 34 anos;257;128;129;21;12;9;236;116;120
         De 35 a 39 anos;187;102;85;12;6;6;175;96;79
         De 40 a 44 anos;193;99;94;18;9;9;175;90;85
         De 45 a 49 anos;190;106;84;9;5;4;181;101;80
         De 50 a 54 anos;129;67;62;2; - ;2;127;67;60
         De 55 a 59 anos;115;53;62;5;1;4;110;52;58
         De 60 a 64 anos;104;59;45;3;1;2;101;58;43
         De 65 a 69 anos;65;31;34;3;2;1;62;29;33
         De 70 a 74 anos;55;25;30;1; - ;1;54;25;29
         De 75 a 79 anos;34;18;16;6;3;3;28;15;13
         De 80 a 84 anos;18;10;8; - ; - ; - ;18;10;8
         De 85 a 89 anos;7;4;3;1;1; - ;6;3;3
         De 90 anos y mas;3;1;2; - ; - ; - ;3;1;2
    Angaite;7.239;3.629;3.610;305;144;161;6.934;3.485;3.449
         De 0 a 4 anos;912;462;450;25;17;8;887;445;442
         De 5 a 9 anos;872;468;404;21;10;11;851;458;393
         De 10 a 14 anos;884;461;423;29;12;17;855;449;406
         De 15 a 19 anos;785;397;388;39;20;19;746;377;369
         De 20 a 24 anos;767;378;389;39;23;16;728;355;373
         De 25 a 29 anos;653;331;322;23;8;15;630;323;307
         De 30 a 34 anos;490;218;272;24;12;12;466;206;260
         De 35 a 39 anos;401;197;204;16;7;9;385;190;195
         De 40 a 44 anos;374;167;207;30;11;19;344;156;188
         De 45 a 49 anos;273;142;131;16;12;4;257;130;127
         De 50 a 54 anos;202;101;101;10;2;8;192;99;93
         De 55 a 59 anos;187;90;97;11;4;7;176;86;90
         De 60 a 64 anos;152;83;69;10;4;6;142;79;63
         De 65 a 69 anos;129;62;67;4; - ;4;125;62;63
         De 70 a 74 anos;70;33;37;4;2;2;66;31;35
         De 75 a 79 anos;50;25;25;3; - ;3;47;25;22
         De 80 a 84 anos;20;7;13; - ; - ; - ;20;7;13
         De 85 a 89 anos;11;6;5;1; - ;1;10;6;4
         De 90 anos y mas;7;1;6; - ; - ; - ;7;1;6
    Guana;556;290;266;124;58;66;432;232;200
         De 0 a 4 anos;55;29;26;12;5;7;43;24;19
         De 5 a 9 anos;69;39;30;16;7;9;53;32;21
         De 10 a 14 anos;69;43;26;15;12;3;54;31;23
         De 15 a 19 anos;70;38;32;14;4;10;56;34;22
         De 20 a 24 anos;50;23;27;13;8;5;37;15;22
         De 25 a 29 anos;47;30;17;5;4;1;42;26;16
         De 30 a 34 anos;40;23;17;9;5;4;31;18;13
         De 35 a 39 anos;26;10;16;3;1;2;23;9;14
         De 40 a 44 anos;30;12;18;9;3;6;21;9;12
         De 45 a 49 anos;20;11;9;7;4;3;13;7;6
         De 50 a 54 anos;23;11;12;6;2;4;17;9;8
         De 55 a 59 anos;12;2;10;5; - ;5;7;2;5
